frame,elapsed_time,target_x,target_y,target_z,finger_x,finger_y,finger_z,head_x,head_y,head_z,0_x,0_y,0_z,0_c,1_x,1_y,1_z,1_c,2_x,2_y,2_z,2_c,3_x,3_y,3_z,3_c,4_x,4_y,4_z,4_c,5_x,5_y,5_z,5_c,6_x,6_y,6_z,6_c,7_x,7_y,7_z,7_c,8_x,8_y,8_z,8_c,9_x,9_y,9_z,9_c,10_x,10_y,10_z,10_c,11_x,11_y,11_z,11_c,12_x,12_y,12_z,12_c,13_x,13_y,13_z,13_c,14_x,14_y,14_z,14_c,15_x,15_y,15_z,15_c,16_x,16_y,16_z,16_c,17_x,17_y,17_z,17_c,18_x,18_y,18_z,18_c,19_x,19_y,19_z,19_c,20_x,20_y,20_z,20_c,21_x,21_y,21_z,21_c,22_x,22_y,22_z,22_c,23_x,23_y,23_z,23_c,24_x,24_y,24_z,24_c,25_x,25_y,25_z,25_c,26_x,26_y,26_z,26_c,27_x,27_y,27_z,27_c,28_x,28_y,28_z,28_c,29_x,29_y,29_z,29_c,30_x,30_y,30_z,30_c,31_x,31_y,31_z,31_c,32_x,32_y,32_z,32_c,33_x,33_y,33_z,33_c,34_x,34_y,34_z,34_c,35_x,35_y,35_z,35_c,36_x,36_y,36_z,36_c,37_x,37_y,37_z,37_c,38_x,38_y,38_z,38_c,39_x,39_y,39_z,39_c,40_x,40_y,40_z,40_c,41_x,41_y,41_z,41_c,42_x,42_y,42_z,42_c,43_x,43_y,43_z,43_c,44_x,44_y,44_z,44_c,45_x,45_y,45_z,45_c,46_x,46_y,46_z,46_c,47_x,47_y,47_z,47_c,48_x,48_y,48_z,48_c,49_x,49_y,49_z,49_c
0,0.02193029,-0.285366654,1.508715153,-1.397246003,-0.319366962,1.507723331,-1.399650216,-0.607742188,1.597221069,-1.519093994,-0.694279297,1.629797119,-1.693532593,5.843808651,0,0,0,-1,-0.752620667,1.686324951,-1.642036621,5.778490067,-0.53742749,1.615550659,-1.607388306,3.913867712,-0.572604431,1.570561646,-1.477989624,6.286113262,-1.182488892,0.86825061,-1.282817993,-1,-0.622881042,1.416122192,-1.770122681,4,-0.513254639,1.374672241,-1.759456787,4.566791534,0,0,0,-1,-0.376827271,1.341478638,-1.549836792,3.326304674,0,0,0,-1,-0.341500946,1.38736792,-1.371945801,12.00103188,-0.350846161,1.403687988,-1.369549927,4,-0.31782785,1.507325806,-1.398904663,5.599515915,-0.313163696,1.398699463,-1.494642944,4,-0.347594727,1.432347778,-1.495705688,6.066610336,-0.37524881,1.422282104,-1.437199829,4,-0.351319733,1.471026367,-1.410543091,3.861538649,-0.816203491,1.440300415,-1.568994385,4,-0.879441711,1.378952759,-1.444274658,21.4128418,-0.82498761,1.127198608,-1.372973999,4,-0.834251099,0.957058716,-1.223745239,4.535958767,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-0.813667419,0.843937683,-1.175879639,4,0,0,0,-1,-0.72032843,0.869030029,-1.23823291,4,0,0,0,-1,-0.630579041,1.112472656,-1.400445313,4,-0.663077393,1.325600098,-1.457824097,5.330680847,-0.739083069,1.329677246,-1.719475098,4,-0.740953613,1.127773438,-1.697795166,13.19948959,-0.816048706,0.980921387,-1.594068359,4,-0.711846619,0.983080872,-1.704475708,4.129504681,-0.503994568,0.9769776,-1.565539551,4,-0.523350647,0.516584351,-1.631701172,4.317830563,-0.522781189,0.319612152,-1.662679321,4,-0.531914246,0.124188995,-1.662128418,9.308262825,-0.409708862,0.027124994,-1.648080933,4,-0.569811951,0.061463932,-1.77667395,3.670859814,-0.462204498,-0.005010113,-1.636487793,4,-0.68454303,0.991383972,-1.358439087,6.183225632,-0.744886658,0.512671997,-1.411888306,4,-0.788332947,0.290382507,-1.450059937,5.844834328,-0.791166931,0.110550507,-1.459636475,4,-0.80247876,0.029271296,-1.39563147,3.920728207,0,0,0,-1,-0.746691833,0.055536331,-1.430196777,3.177349567
1,0.033004524,-0.287562937,1.509290695,-1.403424025,-0.317827851,1.507325768,-1.398904681,-0.611118286,1.595978027,-1.51888269,-0.693908508,1.629901489,-1.694303223,5.063563347,0,0,0,-1,-0.752630371,1.686794678,-1.64368457,5.775147438,-0.53751001,1.615873779,-1.607205078,3.914168358,-0.573702332,1.570821167,-1.477735962,6.287780285,-1.182168945,0.868254333,-1.282596802,-1,-0.621882874,1.416381592,-1.77039856,3.415848494,-0.511685547,1.375398193,-1.759338379,4,0,0,0,-1,-0.375216705,1.341439209,-1.548266968,4,0,0,0,-1,-0.340145691,1.386822754,-1.370656372,4,-0.34988327,1.40343042,-1.368688721,5.643175602,-0.315750244,1.506505005,-1.396964233,4,-0.312045013,1.398390381,-1.493637329,3.869012356,-0.3457854,1.432314331,-1.494576416,4,-0.374491272,1.422474243,-1.436486572,4.792078018,-0.349519226,1.470883179,-1.409189575,4,-0.816199402,1.440152466,-1.570133423,4.014410019,-0.860674377,1.377854492,-1.454065552,4,-0.823210449,1.127143799,-1.374411865,6.34479332,-0.826911011,0.958878784,-1.225755615,4,-0.798058228,0.793727539,-1.296637573,66.24736023,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-179.2388763,0,0,0,-1,-0.715005981,0.870909485,-1.240385864,11.60583115,0,0,0,-1,-0.631264832,1.113730225,-1.39893396,9.412833214,-0.663313538,1.325366089,-1.458562378,4,-0.73827124,1.329661377,-1.720406006,4.731130123,-0.739822266,1.127848755,-1.69917395,4,-0.815715942,0.980940613,-1.595332642,4.680922508,-0.710563416,0.983134705,-1.705860352,4,-0.503953735,0.976865601,-1.56542627,4.569106579,-0.523558472,0.516371582,-1.631828369,4,-0.52261792,0.319465759,-1.662703613,6.941496849,-0.531852844,0.123845901,-1.661990356,4,-0.409718292,0.027172297,-1.64827478,4.580715179,-0.569813232,0.061389908,-1.776797729,4,-0.462203552,-0.004970353,-1.636624634,4.558095932,-0.685423401,0.992083679,-1.358380981,4,-0.744966614,0.512715271,-1.412146973,4.829973698,-0.788425659,0.290323883,-1.450362549,4,-0.791118896,0.110208916,-1.459615967,7.521890163,-0.802407532,0.029112263,-1.395574951,4,0,0,0,-1,-0.746732239,0.055429108,-1.430171021,4
2,0.043910726,-0.287488282,1.509130955,-1.40453887,-0.315750241,1.506505013,-1.396964192,-0.610462708,1.59620105,-1.520046143,-0.693501282,1.630355835,-1.695199707,5.84066391,0,0,0,-1,-0.752710938,1.686692383,-1.644404175,5.774082184,-0.53769989,1.616401245,-1.607046021,3.914535284,-0.573990845,1.5715271,-1.477777954,6.287889004,-1.181646362,0.868369629,-1.282333862,-1,-0.620504089,1.416823853,-1.770828369,4,-0.511003998,1.375952759,-1.759331177,6.542127609,0,0,0,-1,-0.374247986,1.340907349,-1.546771851,4.931956768,0,0,0,-1,-0.340318665,1.385223389,-1.372557373,26.78540993,-0.348535675,1.403140991,-1.367445435,4,-0.314841095,1.506997192,-1.39665271,5.463286877,-0.310409271,1.398214355,-1.492385498,4,-0.344808289,1.432141968,-1.49366626,6.069553375,-0.37302475,1.422472656,-1.435317261,4,-0.348445618,1.47086853,-1.408411011,3.865062475,-0.816162415,1.439898071,-1.57176355,4,-0.859855286,1.376324463,-1.455603394,45.27307892,-0.821341248,1.126942627,-1.377209229,4,-0.821862671,0.959905396,-1.227782349,4.018483639,-0.789951599,0.79584906,-1.299005859,4,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-0.707677551,0.872831177,-1.243715942,4,0,0,0,-1,-0.630735718,1.113961426,-1.398157227,4,-0.663867432,1.325423828,-1.458658447,6.958499432,-0.73707373,1.3296521,-1.721745239,4,-0.738844788,1.12784668,-1.700214111,13.20655251,-0.815245789,0.980999817,-1.597375488,4,-0.709713562,0.983163574,-1.706875732,4.130710125,-0.503355164,0.97705658,-1.565534058,4,-0.522427124,0.516992065,-1.631378296,3.86664176,-0.522593689,0.319418304,-1.662668823,4,-0.531919922,0.123895409,-1.662137451,9.308588028,-0.409765808,0.027076771,-1.648099731,4,-0.569765747,0.061310665,-1.776834351,3.670973539,-0.462059723,-0.005208288,-1.636500366,4,-0.686228333,0.992042236,-1.359502075,13.86599159,-0.74526709,0.512725098,-1.412719727,4,-0.788688232,0.290450775,-1.45057959,3.861611605,-0.791216553,0.109978271,-1.459720337,4,-0.802320557,0.029027344,-1.395561279,3.920641661,0,0,0,-1,-0.747073669,0.05530077,-1.430355469,3.177359581
3,0.054934521,-0.287739217,1.508500934,-1.40551877,-0.314216971,1.506992102,-1.396275043,-0.611702148,1.596465576,-1.520138672,-0.693158875,1.630644409,-1.695940186,5.060070992,0,0,0,-1,-0.752914368,1.686097046,-1.645018677,5.773645401,-0.537767822,1.616937988,-1.606743408,3.91494751,-0.574937195,1.571985352,-1.477338745,6.289254189,-1.181692383,0.870084229,-1.28284082,-1,-0.619028198,1.417206055,-1.771145264,4,-0.509088837,1.376209961,-1.759219849,6.537419796,0,0,0,-1,-0.372897888,1.341073242,-1.545764648,4.932863712,0,0,0,-1,-0.341167755,1.383891846,-1.373056274,45.31289291,-0.346992584,1.403129395,-1.366302612,4,-0.313113556,1.506966675,-1.395494019,5.461170197,-0.308807465,1.398208496,-1.491304688,4,-0.343138123,1.432156372,-1.492668579,5.215159893,-0.371676666,1.422543823,-1.434268799,4,-0.346931915,1.470765015,-1.407233765,3.866975307,-0.816077148,1.439724365,-1.573426392,4,-0.860001404,1.375391235,-1.457590698,45.27512741,-0.819996094,1.126887207,-1.38007312,4,-0.814862,0.961340698,-1.230583374,4.019931793,-0.783049316,0.797200928,-1.301733521,4,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-0.70086261,0.87426825,-1.248144165,4,0,0,0,-1,-0.630480042,1.113660522,-1.398987427,4,-0.664252502,1.325481812,-1.459242798,6.959206104,-0.735983215,1.329865356,-1.72288855,4,-0.737781738,1.12805603,-1.701628418,7.447724342,-0.814886597,0.981049133,-1.599180908,4,-0.708701294,0.983279236,-1.708163086,4.760829926,-0.503065186,0.977239441,-1.565630615,4,-0.523001587,0.516558716,-1.631732422,4.569128513,-0.522218628,0.319619843,-1.66261377,4,-0.531895264,0.123770493,-1.661916992,9.308303833,-0.409854675,0.027221964,-1.648004517,4,-0.569749084,0.061270969,-1.77689624,3.671015739,-0.461643982,-0.005603185,-1.636462646,4,-0.686745972,0.991959229,-1.360711304,13.86836815,-0.745353149,0.512708801,-1.413259155,4,-0.788822571,0.290397583,-1.450914917,3.861704588,-0.791069946,0.110045883,-1.459570435,4,-0.802371704,0.029146446,-1.395585693,3.920610666,0,0,0,-1,-0.746880066,0.055449135,-1.430207642,3.177338123
4,0.066034853,-0.288231164,1.508622169,-1.406108141,-0.31311357,1.50696671,-1.395493984,-0.614619629,1.596661743,-1.519309082,-0.692720764,1.630550049,-1.696363037,5.838554382,0,0,0,-1,-0.752752869,1.686512695,-1.646551147,5.495902538,-0.5376922,1.617410889,-1.606658325,3.91519022,-0.575730835,1.572646973,-1.47709082,6.290289879,-1.180645142,0.868213745,-1.28188562,-1,-0.617947021,1.417536987,-1.771415161,3.415847778,-0.508093536,1.37725647,-1.758682617,4,0,0,0,-1,-0.371504639,1.341358643,-1.544796021,4,0,0,0,-1,-0.339828766,1.383914307,-1.371761475,4,-0.34581543,1.403156982,-1.365713989,5.925426483,-0.311466644,1.506862061,-1.394240845,4,-0.307674744,1.39821936,-1.490663818,3.867687225,-0.341455658,1.43230835,-1.491765869,4,-0.370742065,1.422708496,-1.43368396,4.79161787,-0.345321594,1.470720825,-1.40609668,4,-0.815890076,1.439651855,-1.57456543,4.01225853,-0.859975891,1.374298828,-1.45956543,4,-0.819056763,1.12667395,-1.381862549,8.776074409,-0.808217468,0.962619507,-1.233436523,4,-0.779194946,0.797604065,-1.303762329,26.33675385,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-0.699704895,0.872676208,-1.250071899,27.41751862,0,0,0,-1,-0.630959412,1.114109009,-1.399555542,13.96562099,-0.663975586,1.325731567,-1.460355347,4,-0.73509375,1.329932983,-1.723769531,4.732952118,-0.736479858,1.128027344,-1.702902954,4,-0.814342102,0.981001953,-1.600550293,4.068469524,-0.707480103,0.983270081,-1.70940686,4,-0.502812012,0.97725769,-1.565809448,4.567778587,-0.522677368,0.516591614,-1.631756714,4,-0.522043152,0.319577515,-1.662691772,5.135382175,-0.531820068,0.123849289,-1.661993408,4,-0.40983139,0.02733593,-1.648298218,3.580619812,-0.569726013,0.061246105,-1.777029419,4,-0.461963684,-0.005274578,-1.636513672,4.558281422,-0.687229431,0.992228027,-1.361717896,4,-0.745435242,0.512867126,-1.413774536,4.325156689,-0.789025146,0.29057785,-1.4513396,4,-0.791104797,0.110150772,-1.459613159,7.521927834,-0.802520935,0.029271236,-1.395718384,4,0,0,0,-1,-0.746899353,0.055482578,-1.430196533,4
5,0.077046918,-0.288458318,1.508666754,-1.406361222,-0.311466634,1.506862044,-1.394240856,-0.61355957,1.597588013,-1.520236206,-0.692179871,1.630646851,-1.697245239,5.8370471,0,0,0,-1,-0.752727966,1.686397217,-1.647279297,5.494513988,-0.537786255,1.617878296,-1.606420654,3.93062067,-0.576120667,1.573123169,-1.476983276,6.290782928,-1.18076123,0.869975037,-1.282438232,-1,-0.616367737,1.417896118,-1.771791504,4,-0.506822205,1.377462769,-1.758792236,6.532493114,0,0,0,-1,-0.370606201,1.341409912,-1.544139038,5.569744587,0,0,0,-1,-0.337648895,1.384610962,-1.370071289,45.24364853,-0.344141113,1.403089722,-1.364728149,4,-0.310277679,1.506766846,-1.393722656,5.457778454,-0.306042755,1.398226685,-1.489727539,4,-0.340381256,1.432420654,-1.491218384,5.217144489,-0.369063843,1.422789673,-1.432837769,4,-0.344165619,1.470886963,-1.405481323,3.870363951,-0.815641541,1.439496094,-1.576205566,4,-0.860046387,1.373644287,-1.460767822,45.28667831,-0.817310669,1.126305542,-1.384397583,4,-0.803880493,0.96321167,-1.235496338,5.002046585,-0.777118042,0.795466492,-1.308011475,4,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-0.694197632,0.872714478,-1.255035156,4,0,0,0,-1,-0.630702393,1.114199463,-1.399759521,4,-0.664543823,1.325576416,-1.460443115,6.959660053,-0.733772827,1.330008667,-1.725160522,4,-0.735650818,1.128154419,-1.703994263,7.450556278,-0.813774475,0.980932129,-1.602534058,4,-0.706597107,0.983309692,-1.710467651,4.762351513,-0.501837433,0.977487671,-1.5661875,4,-0.52251123,0.516433289,-1.631661987,4.336454868,-0.521696777,0.319453766,-1.662697021,4,-0.531765442,0.123962143,-1.662108154,9.308246613,-0.409807159,0.027195066,-1.648110596,4,-0.569704407,0.061161655,-1.777158813,3.671079397,-0.462023407,-0.005327294,-1.636672119,4,-0.687594727,0.99251532,-1.362163818,13.8686676,-0.745615479,0.513259583,-1.414368286,4,-0.788977539,0.290678192,-1.451665771,5.060427189,-0.791134094,0.110331245,-1.45974231,4,-0.802414795,0.029203648,-1.395721069,3.604492903,0,0,0,-1,-0.746818604,0.055438866,-1.430169312,3.175667524
6,0.088063968,-0.288840055,1.508607626,-1.406611919,-0.309749782,1.506701231,-1.393330336,-0.614810486,1.597224487,-1.519206543,-0.691827942,1.630695923,-1.697699463,4.378813744,0,0,0,-1,-0.752524902,1.686751587,-1.648804199,5.491315365,-0.53767749,1.618526001,-1.606094971,3.930745602,-0.576994507,1.57343689,-1.476544922,6.292098045,-1.180124756,0.869746216,-1.282145508,-1,-0.614826111,1.418271606,-1.772110352,4,-0.504935638,1.377717285,-1.758546021,6.528164864,0,0,0,-1,-0.369311401,1.34155835,-1.5429552,5.019284725,0,0,0,-1,-0.336419617,1.384629883,-1.369248535,45.22270584,-0.34256015,1.403170044,-1.363785889,4,-0.308531616,1.506934448,-1.39287085,5.8200984,-0.304552155,1.398266479,-1.488717163,4,-0.338807159,1.432463013,-1.490172974,5.218886375,-0.367419983,1.422983643,-1.431944336,4,-0.342661163,1.471036133,-1.404478394,3.872247696,-0.815443176,1.43940686,-1.577758789,4,-0.860223022,1.373092773,-1.462614746,45.28410721,-0.815544067,1.125716919,-1.38667627,4,-0.797711609,0.9638396,-1.239233398,4.623324871,-0.763584961,0.802000549,-1.310529907,4,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-0.689590515,0.872272644,-1.260851196,4,0,0,0,-1,-0.630440308,1.113471313,-1.399175415,4,-0.664644897,1.325776245,-1.46099353,6.959712505,-0.732589478,1.330141113,-1.726474365,4,-0.734506653,1.128350708,-1.70547583,7.45142746,-0.813295349,0.98096582,-1.604401489,4,-0.705519348,0.983396912,-1.711787842,4.133053303,-0.501719269,0.977452087,-1.566138184,4,-0.52227948,0.516481262,-1.63167981,4.336262226,-0.521589539,0.319202026,-1.662625122,4,-0.532065186,0.123541252,-1.662246948,9.309411049,-0.409880493,0.02724165,-1.647988403,4,-0.569614319,0.061128185,-1.777085205,3.67113018,-0.462058044,-0.005390164,-1.636386475,4,-0.687955078,0.992617859,-1.362939941,8.726000786,-0.745485168,0.51339624,-1.414921997,4,-0.788787964,0.290717773,-1.451891968,3.862086058,-0.791373047,0.110482292,-1.460010742,4,-0.802458435,0.029186073,-1.395656738,3.920697212,0,0,0,-1,-0.746744507,0.055538353,-1.430155273,3.175692797
7,0.099230575,-0.289101839,1.50864315,-1.40686214,-0.308531612,1.506934404,-1.392870903,-0.615190063,1.597567871,-1.519068604,-0.690052979,1.631686768,-1.698226074,10.67052174,0,0,0,-1,-0.752297546,1.686399414,-1.649360229,7.004835606,-0.537324036,1.61918396,-1.605989746,5.041539192,-0.577713013,1.57409314,-1.476272827,6.293002605,-1.181966919,0.872346191,-1.279689331,-1,-0.613773743,1.418720825,-1.772338013,3.415850639,-0.503946442,1.37877063,-1.75777063,4,0,0,0,-1,-0.36807663,1.341727905,-1.541908691,4,0,0,0,-1,-0.335639313,1.384182861,-1.369238647,4,-0.34166333,1.403413086,-1.363204224,5.630317211,-0.3067005,1.507116699,-1.39196814,4,-0.303552307,1.398350464,-1.487987305,3.866290808,-0.337256622,1.432643433,-1.489233887,4,-0.366416199,1.423206543,-1.431384277,4.790978432,-0.341157959,1.471193726,-1.403444458,4,-0.81527417,1.439394409,-1.578770508,4.010359764,-0.860638489,1.37245752,-1.464561401,4,-0.815303711,1.125540283,-1.388725586,8.781423569,-0.791939941,0.964369202,-1.242664795,4,-0.770315186,0.795262512,-1.314776001,87.28097534,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-0.68742395,0.871733459,-1.264911499,21.7007618,0,0,0,-1,-0.632054443,1.112409302,-1.404082275,38.22093582,-0.664194153,1.326060303,-1.461939209,4,-0.731718506,1.330251221,-1.727227051,4.73499012,-0.733339661,1.128514648,-1.706829346,4,-0.8129729,0.980993286,-1.605581055,4.068229675,-0.704534363,0.983450378,-1.712888672,4,-0.501354706,0.977700562,-1.566264648,4.565944672,-0.522110596,0.516507996,-1.631714478,4,-0.521460449,0.319365814,-1.662708862,5.373298645,-0.532058838,0.123568436,-1.662026489,4,-0.40995578,0.027439323,-1.648102173,3.580634117,-0.569681458,0.061132835,-1.777088379,4,-0.462155975,-0.005304099,-1.636473999,4.558196545,-0.68851355,0.99282666,-1.364023438,4,-0.745535461,0.513558411,-1.415252441,5.255159378,-0.788793274,0.290843079,-1.452169189,4,-0.791478577,0.110686798,-1.460040649,7.522743225,-0.802529724,0.029223825,-1.395567261,4,0,0,0,-1,-0.746713928,0.055655285,-1.430143555,4
8,0.110266393,-0.289582521,1.508630514,-1.407122374,-0.306700498,1.507116675,-1.391968131,-0.612693176,1.598398682,-1.520243042,-0.689869934,1.631595703,-1.698761475,10.67069054,0,0,0,-1,-0.752176208,1.686487305,-1.650250732,7.003020287,-0.537522827,1.619525513,-1.605684692,3.93095994,-0.578063965,1.574619873,-1.476247803,6.511263847,-1.179131958,0.869435547,-1.281775391,-1,-0.612147278,1.419150635,-1.77259314,4,-0.50257077,1.378769897,-1.757631348,6.523328304,0,0,0,-1,-0.367238831,1.341963501,-1.541583008,5.571761608,0,0,0,-1,-0.334796021,1.384208862,-1.368823608,16.75312424,-0.340297577,1.403560913,-1.362288574,4,-0.30551535,1.507208008,-1.391540039,5.815293789,-0.301942017,1.398547485,-1.487090576,4,-0.336121368,1.432983765,-1.488904541,5.220035553,-0.36480069,1.423452393,-1.430717529,4,-0.340156738,1.47119043,-1.403246216,4.178011417,-0.814986755,1.439304321,-1.58033606,4,-0.860249939,1.371495483,-1.465794312,45.29558945,-0.814020752,1.125458008,-1.391361816,4,-0.789083557,0.964399353,-1.24487793,5.085887909,-0.7670625,0.794935486,-1.31903772,4,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-0.684303467,0.870177795,-1.270724731,4,0,0,0,-1,-0.632086548,1.112499023,-1.404740845,4,-0.664444824,1.326101196,-1.462130371,8.297606468,-0.730325562,1.330310059,-1.728365723,4,-0.732304871,1.128603882,-1.707814575,7.453972816,-0.812448914,0.980915588,-1.607467896,4,-0.703743958,0.983534912,-1.713866089,4.134036541,-0.500721893,0.977843262,-1.566339966,4,-0.522352539,0.516269836,-1.631756348,6.141574383,-0.521228516,0.319347687,-1.662687134,4,-0.532104675,0.12362677,-1.66229895,9.30963707,-0.409988464,0.027458244,-1.647944214,4,-0.5696521,0.061147793,-1.777139526,3.67111063,-0.462320679,-0.005137486,-1.636472534,4,-0.688693542,0.993022278,-1.364788818,8.728703499,-0.745946594,0.513810608,-1.416145142,4,-0.78884137,0.290929749,-1.452536499,5.061020851,-0.791495911,0.111022568,-1.460129639,4,-0.802707642,0.029289833,-1.395595459,3.920731544,0,0,0,-1,-0.746793701,0.055657211,-1.430193604,3.175687075
9,0.121363793,-0.289806694,1.508636475,-1.407377481,-0.304915875,1.507255673,-1.391232491,-0.611151367,1.600299927,-1.520113281,-0.689265564,1.631611938,-1.69964209,10.66947937,0,0,0,-1,-0.752469604,1.685748169,-1.651141846,6.492731094,-0.537285828,1.620069458,-1.605484741,3.930969238,-0.578784363,1.574801025,-1.476025269,6.293586254,-1.17859729,0.869140381,-1.281653442,-1,-0.610384644,1.419440186,-1.772913818,4,-0.500659882,1.379084595,-1.757489502,6.5190835,0,0,0,-1,-0.365542419,1.342540039,-1.540498779,5.022574425,0,0,0,-1,-0.333675323,1.384153931,-1.368096069,16.74500656,-0.338852234,1.403640137,-1.361576172,4,-0.3036492,1.507036377,-1.390516968,5.107978821,-0.300220947,1.398709351,-1.486401001,4,-0.334399292,1.433315186,-1.488262573,5.220376015,-0.363423553,1.423979858,-1.430046875,4,-0.338495056,1.471580688,-1.402452271,4.180562496,-0.814542969,1.43923999,-1.582015625,4,-0.860170532,1.370742554,-1.467622437,45.30203629,-0.812303955,1.124870117,-1.39409314,4,-0.784612976,0.964170166,-1.248625366,5.142089367,-0.769166748,0.791083496,-1.323924194,4,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-0.6816875,0.86828772,-1.276911011,4,0,0,0,-1,-0.631552551,1.112335693,-1.404436523,4,-0.664686707,1.326034546,-1.462579102,8.297945976,-0.728796936,1.330332397,-1.729579102,4,-0.730870239,1.128705688,-1.709297485,7.455750942,-0.811760803,0.98083783,-1.609413208,4,-0.702518372,0.983596252,-1.715193115,4.134785175,-0.50035144,0.977640991,-1.566458374,4,-0.5220177,0.516178162,-1.631875,6.141080856,-0.52105542,0.319036377,-1.662698608,4,-0.531621155,0.123654251,-1.661818848,9.308107376,-0.410077942,0.027256744,-1.647945923,4,-0.569531006,0.061036491,-1.777244141,3.671209335,-0.462417938,-0.005274253,-1.6364104,4,-0.689108826,0.993235779,-1.365510742,8.729481697,-0.745926758,0.514076111,-1.416240845,4,-0.788875854,0.291110474,-1.452852539,3.862438679,-0.791428284,0.111048111,-1.460168945,4,-0.80265741,0.029148567,-1.395651489,3.920620918,0,0,0,-1,-0.746707825,0.055619793,-1.430223633,3.175671577
