frame,elapsed_time,target_x,target_y,target_z,finger_x,finger_y,finger_z,head_x,head_y,head_z,0_x,0_y,0_z,0_c,1_x,1_y,1_z,1_c,2_x,2_y,2_z,2_c,3_x,3_y,3_z,3_c,4_x,4_y,4_z,4_c,5_x,5_y,5_z,5_c,6_x,6_y,6_z,6_c,7_x,7_y,7_z,7_c,8_x,8_y,8_z,8_c,9_x,9_y,9_z,9_c,10_x,10_y,10_z,10_c,11_x,11_y,11_z,11_c,12_x,12_y,12_z,12_c,13_x,13_y,13_z,13_c,14_x,14_y,14_z,14_c,15_x,15_y,15_z,15_c,16_x,16_y,16_z,16_c,17_x,17_y,17_z,17_c,18_x,18_y,18_z,18_c,19_x,19_y,19_z,19_c,20_x,20_y,20_z,20_c,21_x,21_y,21_z,21_c,22_x,22_y,22_z,22_c,23_x,23_y,23_z,23_c,24_x,24_y,24_z,24_c,25_x,25_y,25_z,25_c,26_x,26_y,26_z,26_c,27_x,27_y,27_z,27_c,28_x,28_y,28_z,28_c,29_x,29_y,29_z,29_c,30_x,30_y,30_z,30_c,31_x,31_y,31_z,31_c,32_x,32_y,32_z,32_c,33_x,33_y,33_z,33_c,34_x,34_y,34_z,34_c,35_x,35_y,35_z,35_c,36_x,36_y,36_z,36_c,37_x,37_y,37_z,37_c,38_x,38_y,38_z,38_c,39_x,39_y,39_z,39_c,40_x,40_y,40_z,40_c,41_x,41_y,41_z,41_c,42_x,42_y,42_z,42_c,43_x,43_y,43_z,43_c,44_x,44_y,44_z,44_c,45_x,45_y,45_z,45_c,46_x,46_y,46_z,46_c,47_x,47_y,47_z,47_c,48_x,48_y,48_z,48_c,49_x,49_y,49_z,49_c
0,0.021769035,-0.285366654,1.508715153,-1.397246003,-0.270739555,1.518609285,-1.367622137,-0.007080963,1.614533325,-0.874779053,0.02461339,1.618550903,-0.664268066,4.745939732,0.035200939,1.723639038,-0.804286194,4.102555752,0.084639244,1.690708496,-0.688745361,5.407634258,-0.104223892,1.601734863,-0.829266296,4.377980232,-0.03372554,1.60474939,-0.942759399,3.909999847,0.069220863,1.611246826,-0.920601074,6.88266468,-0.07525396,1.437640869,-0.670365234,5.129337788,-0.147081192,1.423212524,-0.762064331,6.57505846,-0.135422943,1.370092407,-0.918725952,4,0,0,0,-1,0,0,0,-1,-0.233926895,1.41919165,-1.331970459,4.171368599,-0.212365234,1.42963501,-1.336755859,4,-0.270091187,1.5187229,-1.369013916,4.661895752,-0.304468597,1.459599854,-1.244888184,4,-0.259788422,1.489093384,-1.242002808,6.251761436,-0.217220993,1.472659546,-1.260611938,4,-0.22764769,1.478015625,-1.325882446,4.129072189,0.166885345,1.439755859,-0.657042603,4,0.271713013,1.381055298,-0.721180664,3.817296028,0.281852936,1.194759033,-0.83257251,4,0.253377792,1.244622437,-0.922085571,8.066545486,0.159388229,1.334543457,-1.105588623,4,0.157460983,1.367557251,-1.108021973,57.81799698,0.152436707,1.381045288,-1.088706421,4,0.161973618,1.396805542,-1.062642456,3.814116478,0.21146405,1.289864502,-1.039645142,4,0.211823318,1.326193726,-0.995454224,4.568655491,0.173871979,1.356707642,-0.981006897,4,0.143094315,1.390506592,-1.021677795,9.934762955,0.106635933,1.100729126,-0.833436218,4,0.115391121,1.321241821,-0.841820251,4.996954918,0.011450265,1.342229614,-0.596546509,4,0.017566603,1.13999585,-0.568696106,6.460186005,0.135747177,0.969897095,-0.567576904,4,-0.000192162,0.989616089,-0.543814209,3.583191156,-0.069635399,0.989301392,-0.767102966,4,-0.111217796,0.540783875,-0.77505835,19.9191761,-0.103211365,0.338923706,-0.746267029,4,-0.088368851,0.143246765,-0.702195557,5.298123837,0,0,0,-1,-0.052809464,0.067675728,-0.569262878,3.635664701,-0.125173096,0.072726845,-0.745364624,4,0.152854965,0.971850403,-0.801871216,4.041888714,0.124011971,0.524638245,-0.835373291,4,0.129187958,0.307506409,-0.814198181,8.278170586,0.126222061,0.124400436,-0.779858765,4,0.097182098,0.057654678,-0.843317749,3.326819897,0.156555817,0.098665215,-0.695699768,4,0.15914978,0.010353631,-0.819979431,4.876598835
1,0.032804576,-0.287562937,1.509290695,-1.403424025,-0.270174891,1.518724799,-1.369661212,-0.007161621,1.614658081,-0.87660376,0.025757458,1.618825195,-0.665815063,4.746528625,0.03545845,1.723654785,-0.80634552,4.102927208,0.08514312,1.690998657,-0.690817993,5.407920837,-0.104026276,1.601441895,-0.831046021,4.401747704,-0.033776081,1.604605225,-0.943934937,3.909921885,0.069226631,1.611147705,-0.922429077,6.880197525,-0.07436367,1.437744385,-0.671914673,4,-0.147857758,1.42350769,-0.763042358,6.574254513,-0.135223297,1.370605957,-0.920171692,4,0,0,0,-1,0,0,0,-1,-0.234851822,1.419360229,-1.333931519,4.168603897,-0.213617188,1.429291748,-1.338154053,4,-0.271116669,1.517830688,-1.370575928,4.660538197,-0.304257141,1.459277954,-1.245846313,4,-0.260883057,1.489182495,-1.243303223,6.251014233,-0.217937286,1.472685425,-1.262449829,4,-0.228832977,1.477895142,-1.3275271,4.129858017,0.169097382,1.442189697,-0.66285144,4,0.272233551,1.380869751,-0.724075073,3.817027807,0.281741058,1.194521606,-0.834972839,4,0.253492798,1.244088623,-0.924339294,8.066134453,0.159296402,1.333469971,-1.107356812,4,0.157361893,1.366484863,-1.110042236,57.78657532,0.152499969,1.38025061,-1.0907771,4,0.162188995,1.395996094,-1.065027344,3.812428474,0.211412781,1.289162964,-1.041859863,4,0.21203598,1.325537354,-0.997809143,4.323720932,0.172867126,1.356671021,-0.986557434,4,0.143308426,1.389886475,-1.024055542,7.083352566,0.106721184,1.100468872,-0.83484668,4,0.115873596,1.321376465,-0.843458191,4.998160362,0.012970061,1.342865112,-0.59801416,4,0.018765594,1.140706299,-0.569987,6.461284637,0.136510941,0.970589722,-0.568363708,4,0.000629566,0.990229309,-0.544477112,3.583433628,-0.069496353,0.989045776,-0.76783783,4,-0.11160627,0.540713257,-0.773087036,19.92853355,-0.10320433,0.339081604,-0.744880371,4,-0.088205765,0.143268005,-0.701915466,5.298353672,0,0,0,-1,-0.052453239,0.067482613,-0.569237488,4.268043518,-0.124963402,0.072845383,-0.7454552,4,0.153120834,0.971743774,-0.802870422,3.379652739,0.124670761,0.524284546,-0.8350672,4,0.129671707,0.307594635,-0.814080933,8.2780056,0.126454468,0.125068977,-0.780709839,4,0.097199547,0.057878174,-0.843394775,3.32678771,0.1568517,0.09909433,-0.695569458,4,0.15914769,0.010360483,-0.820071289,4.876542091
2,0.044092898,-0.287488282,1.509130955,-1.40453887,-0.271635711,1.517806768,-1.371080637,-0.006983276,1.614219849,-0.878556335,0.026204536,1.618952637,-0.667038635,4.747253418,0.035721645,1.723501587,-0.808302551,4.103093624,0.085577141,1.691150024,-0.692269897,5.407795429,-0.103555588,1.601252563,-0.832232056,4.621636868,-0.03351844,1.604277588,-0.945465088,3.850970268,0.069232399,1.610786133,-0.92405011,8.538972855,-0.073461754,1.437824463,-0.673432922,4,-0.145619293,1.423402466,-0.764498718,22.46916962,-0.134715546,1.370815063,-0.921371399,4,0,0,0,-1,0,0,0,-1,-0.236227341,1.418969604,-1.33490686,5.581437588,-0.214913773,1.429013794,-1.339742676,4,-0.27195401,1.517348999,-1.37197229,4.659382343,-0.303514221,1.459317871,-1.247284424,4,-0.260689972,1.489276001,-1.244841309,6.248574734,-0.218403534,1.472279175,-1.264326416,4,-0.229845703,1.477532959,-1.329238647,4.130464077,0.172056412,1.441404785,-0.665174255,4,0.272796478,1.380261719,-0.72684436,3.789222717,0.282131866,1.194267944,-0.836852844,4,0.253379318,1.243364014,-0.926651306,8.066306114,0.159584122,1.332901733,-1.109934204,4,0.157064713,1.365210449,-1.112092651,57.76116943,0.152503723,1.379743896,-1.093669678,4,0.162271362,1.395055908,-1.067511597,3.810704947,0.211390854,1.288077271,-1.044049561,4,0.211614609,1.324292114,-0.999835388,5.329261303,0.174711716,1.357273438,-0.987797302,4,0.14356926,1.38927417,-1.026504761,7.077847004,0.107035744,1.100089844,-0.83589801,4,0.116360138,1.320965332,-0.845434326,4.569487572,0.013894972,1.342906494,-0.59979071,4,0.01955633,1.140851807,-0.571103577,6.462590694,0.137096725,0.970835571,-0.569150574,4,0.001291706,0.990331055,-0.544996521,3.348410606,-0.069072411,0.988618164,-0.768482239,4,-0.11182737,0.540535461,-0.771198242,19.93845367,-0.102801323,0.339037842,-0.743731445,4,-0.087689857,0.143152863,-0.701665955,5.298619747,0,0,0,-1,-0.05194817,0.067228767,-0.569372314,4.036461353,-0.124496071,0.072717987,-0.745466553,4,0.153531128,0.97150354,-0.80375885,3.379086256,0.124983856,0.523702087,-0.835040527,4,0.130094284,0.307515625,-0.813904724,6.051683903,0.126401657,0.125270454,-0.780793518,4,0.097235992,0.057809734,-0.843444092,3.326809883,0.156699478,0.098679527,-0.696014832,4,0.159049118,0.01022852,-0.820262268,4.876739979
3,0.054836363,-0.287739217,1.508500934,-1.40551877,-0.271954,1.517349005,-1.371972322,-0.006834076,1.613712402,-0.879673584,0.026866938,1.619071777,-0.66852356,4.748125553,0.035970005,1.723521484,-0.809481201,3.832043648,0.086299805,1.69119165,-0.694086121,5.407397747,-0.103269424,1.600991089,-0.833286011,4.283198833,-0.033378174,1.603862915,-0.94707666,3.909583092,0.069568611,1.610620239,-0.925356873,8.535824776,-0.072935844,1.438035645,-0.67453241,5.399555206,-0.145817551,1.424155884,-0.765875305,4,-0.134421921,1.370913208,-0.922239624,3.762686253,-0.269327698,1.4265271,-1.113401123,4.752590179,0,0,0,-1,-0.236753281,1.418952393,-1.335903198,5.579365253,-0.21574263,1.428891479,-1.340742798,4,-0.272422455,1.517595459,-1.372692505,4.658682346,-0.304150879,1.459580566,-1.247882568,4,-0.26087204,1.489346191,-1.245737061,6.247554779,-0.218714951,1.472034912,-1.265378418,4,-0.230207596,1.477287476,-1.330295898,4.130699635,0.172581604,1.441016235,-0.66725885,4,0.273257172,1.379978027,-0.728505127,3.789013386,0.282868011,1.193955688,-0.837797302,4,0.2533638,1.242956665,-0.927993164,8.066297531,0.159410583,1.330630127,-1.109506104,4,0.156830536,1.364692383,-1.113460205,71.45571136,0.15245108,1.378831787,-1.094949219,4,0.162485291,1.395060059,-1.06998877,15.02509975,0.211356934,1.287446655,-1.045565186,4,0.211707458,1.323804321,-1.001370056,5.32923317,0.173653976,1.355971069,-0.989328674,4,0.143788208,1.388630005,-1.027978516,7.074131966,0.107224823,1.099932739,-0.836575317,4,0.116468796,1.320741821,-0.846739075,4.569766045,0.014644748,1.343108154,-0.600789246,4,0.02007617,1.141025635,-0.571887878,6.463490486,0.137600586,0.970799377,-0.569563354,4,0.001764703,0.990359253,-0.545476379,3.695808649,-0.068790092,0.988355774,-0.768893982,4,-0.111724731,0.540237366,-0.769934875,5.124993324,-0.102421959,0.339113342,-0.743062439,4,-0.087320122,0.143015976,-0.701358765,5.298988342,0,0,0,-1,-0.051652313,0.066999023,-0.569399841,4.267970085,-0.124210724,0.072609741,-0.745470154,4,0.153851227,0.971423096,-0.804268555,3.378756285,0.125275024,0.523478149,-0.83506958,4,0.130327942,0.307506683,-0.813816284,6.051649094,0.126405579,0.125176697,-0.780481445,4,0.097083435,0.057494102,-0.843528748,3.214494944,0.156834885,0.098522385,-0.695961548,4,0.159668411,0.010652945,-0.819922729,6.004716873
4,0.065929967,-0.288231164,1.508622169,-1.406108141,-0.272670925,1.517455459,-1.373146892,-0.006506653,1.61378833,-0.880932068,0.027412842,1.619117432,-0.66991333,4.748835564,0.03602494,1.723543579,-0.811199463,4.103660107,0.086738884,1.691209229,-0.695200073,5.406986237,-0.102774254,1.600599976,-0.834397156,4.282700539,-0.033272396,1.603684814,-0.947983887,3.90956068,0.069935165,1.610917603,-0.927303894,5.642002583,-0.072179115,1.437985352,-0.676330811,4,-0.145205017,1.424289429,-0.76664917,6.069722652,-0.134638474,1.370572754,-0.923327454,4,-0.269269073,1.426184448,-1.115378418,8.348566055,0,0,0,-1,-0.237785599,1.418850098,-1.337026733,5.577293873,-0.217474548,1.428110596,-1.341711914,4,-0.273515137,1.516897827,-1.374293213,17.06158257,-0.305219818,1.45974585,-1.248349609,4,-0.262150024,1.489557861,-1.246760498,6.246796131,-0.219380035,1.471944458,-1.266447632,4,-0.231080475,1.477130615,-1.33145813,4.131388664,0.171887909,1.44194165,-0.669484985,4,0.273736237,1.379684326,-0.730639221,3.816128254,0.282756836,1.19381897,-0.840147156,4,0.253500168,1.242541016,-0.929941284,8.065876007,0.159509766,1.331695923,-1.113836914,4,0.156774841,1.364256592,-1.115895264,71.39753723,0.152218613,1.377966431,-1.09728772,4,0.162389923,1.394383667,-1.072263794,13.95480919,0.211061584,1.286775269,-1.04777124,4,0.211742294,1.323240723,-1.003478821,5.329289913,0.174559128,1.3560271,-0.991037292,4,0.144063828,1.388021484,-1.029888306,6.244351864,0.107412292,1.099535767,-0.837270752,4,0.116774422,1.320706543,-0.848088806,4.57020092,0.015702091,1.343653809,-0.602168579,4,0.020739283,1.141401733,-0.572935364,6.464641571,0.138386826,0.970683289,-0.570278259,4,0.002495894,0.990403259,-0.545926025,3.696106434,-0.068363342,0.988177185,-0.769596741,4,-0.111355103,0.539861389,-0.768513733,58.69432831,-0.101801109,0.339322693,-0.742035828,4,-0.087139412,0.143342102,-0.701237061,5.298686504,0,0,0,-1,-0.051389484,0.066750092,-0.569276062,4.267888069,-0.124179871,0.072798691,-0.745463745,4,0.154263336,0.971772949,-0.805446655,3.712517738,0.125769737,0.52344043,-0.835117859,4,0.130531372,0.307651337,-0.813764648,6.051354408,0.126451874,0.125608696,-0.780979187,4,0.097018562,0.05760677,-0.843503418,3.214482069,0.157147964,0.098700623,-0.695547974,4,0.159680634,0.01065919,-0.819938171,5.624027729
5,0.077136765,-0.288458318,1.508666754,-1.406361222,-0.273501575,1.516586661,-1.374879122,-0.005713074,1.612890259,-0.882261292,0.028962444,1.618734131,-0.67006842,10.21024036,0.036272335,1.723459229,-0.812802185,4.10380888,0.086981079,1.691361572,-0.696935608,5.406826973,-0.102082832,1.599995483,-0.83487854,4.282175541,-0.033138916,1.603432251,-0.949294006,3.850023508,0.07006134,1.610929443,-0.928306091,6.871549129,-0.071694885,1.438042236,-0.677366943,18.14906883,-0.143877396,1.424691406,-0.768262756,4,-0.134555435,1.370663086,-0.924194214,4.089394569,-0.269679962,1.426357666,-1.116283447,4,0,0,0,-1,-0.23866629,1.418742676,-1.338011353,4,-0.217882828,1.428267822,-1.342432129,3.983518839,-0.274773956,1.516851563,-1.375336182,4,-0.305452576,1.459905884,-1.249265015,5.310470104,-0.262889496,1.489494019,-1.247834717,4,-0.219801544,1.47207666,-1.267167114,4.205620289,-0.231437057,1.477081421,-1.332967285,4,0.172603851,1.441827271,-0.670540771,4.274717808,0.274051575,1.379257324,-0.732551025,4,0.282398895,1.193858643,-0.841896545,43.61127472,0.253569153,1.242160034,-0.932012329,4,0.15929213,1.33156189,-1.115488525,4.261525631,0.156520294,1.363796875,-1.118204346,4,0.15200766,1.377595581,-1.098712158,4.174594879,0.1621185,1.393772339,-1.074607544,4,0.210940781,1.286494507,-1.049159302,8.329359055,0.212055084,1.323179199,-1.006137451,4,0.175774414,1.356732178,-0.992182556,20.57236671,0.144153641,1.387584839,-1.032027222,4,0.10752462,1.099568726,-0.838095947,4.207014561,0.11713147,1.320395752,-0.84970752,4,0.01594278,1.343419434,-0.60332074,6.77423954,0.021411488,1.141491821,-0.573867981,4,0.138874039,0.970693909,-0.570737488,4.239387989,0.003333719,0.99042218,-0.546346436,4,-0.068085258,0.988108582,-0.769979858,3.888746023,-0.11123806,0.53995697,-0.767554749,4,-0.101558578,0.339607819,-0.741524292,7.303879738,-0.087002861,0.143580795,-0.700830872,4,0,0,0,-1,-0.051142223,0.06652639,-0.569126587,4,-0.1242817,0.072877777,-0.745368164,3.991106749,0.154637405,0.971770996,-0.806275269,4,0.126196793,0.523600952,-0.835179993,11.98866272,0.130593842,0.307763916,-0.813712769,4,0.1263442,0.125678139,-0.780897156,36.17885971,0.096754013,0.057590649,-0.843451721,4,0.156957718,0.098647469,-0.695725037,16.27771759,0.159574326,0.01069532,-0.819916077,4
6,0.08798492,-0.288840055,1.508607626,-1.406611919,-0.274587244,1.516606569,-1.375208259,-0.005116608,1.612553345,-0.8833974,0.02896863,1.618954956,-0.672006287,4.749514103,0.036529976,1.723400635,-0.813729126,3.832633734,0.087235382,1.691477173,-0.698618225,5.406727314,-0.102417747,1.599827637,-0.836101868,4.621708393,-0.03284248,1.603076904,-0.950535828,3.909361362,0.070269096,1.610795654,-0.929647949,6.869654655,-0.070792915,1.438584229,-0.678420471,18.14164734,-0.143303024,1.424568481,-0.769491882,4,-0.134169022,1.370605713,-0.925375305,4.089047432,-0.270294098,1.426296021,-1.117105469,4,0,0,0,-1,-0.239126144,1.418682251,-1.338806641,4,-0.218613663,1.428146484,-1.343402466,3.982643366,-0.274555695,1.51611145,-1.376508789,4,-0.306450745,1.459628418,-1.249828369,5.745655537,-0.262940338,1.48930127,-1.248951782,4,-0.220194641,1.472053711,-1.268128296,4.205804348,-0.231955048,1.477039429,-1.333947876,4,0.173294495,1.441925537,-0.672455933,4.270923138,0.274526917,1.379207642,-0.734387573,4,0,0,0,-1,0.253231689,1.241610962,-0.934334778,4,0.15899176,1.330422852,-1.117832397,3.821483135,0.155965286,1.362977051,-1.120109741,4,0.151503723,1.376589722,-1.100276733,4.174687386,0.161776657,1.39340332,-1.077425049,4,0,0,0,-777.6711426,0.212064804,1.323030762,-1.008717224,4,0.176024796,1.356579956,-0.994140564,20.58116913,0.14405188,1.387098999,-1.033964111,4,0.107766068,1.099164307,-0.839164917,5.392650127,0.117385567,1.319781738,-0.851489441,4,0.01680525,1.344005127,-0.604522827,6.775093555,0.022098049,1.141598633,-0.574812134,4,0.139693207,0.970894165,-0.57138623,5.178065777,0.004201353,0.990719116,-0.546982178,4,-0.067612671,0.987944702,-0.770408813,3.990275145,-0.110818199,0.540127808,-0.766851379,4,-0.101178116,0.339721771,-0.74080011,5.002522945,-0.086775093,0.143541687,-0.70043335,4,0,0,0,-1,-0.051297649,0.066545006,-0.569086914,4,-0.124261658,0.07273011,-0.745362183,3.991199255,0.155083176,0.971508789,-0.807006531,4,0.126427368,0.523463257,-0.835343384,11.98904705,0.130794205,0.307638092,-0.813605713,4,0.126257675,0.125021927,-0.780279114,36.19179916,0.096703209,0.057647926,-0.843388489,4,0.15703418,0.098796043,-0.695719666,4.551450253,0.159063095,0.01049892,-0.820191772,4
7,0.099059756,-0.289101839,1.50864315,-1.40686214,-0.274555683,1.516111493,-1.376508832,-0.004104431,1.61347998,-0.884364929,0.029511696,1.618991089,-0.673171997,5.053798199,0.037092659,1.723107422,-0.814885071,4.176029205,0.08778624,1.691489136,-0.699514648,5.406333447,-0.100984253,1.600185547,-0.837823669,27.27132607,-0.032634018,1.602859253,-0.951227356,3.909376144,0.070631981,1.610905151,-0.931165649,6.866839886,-0.069933044,1.439246704,-0.679271484,4,-0.142795898,1.424876343,-0.770356689,5.778285027,-0.134044586,1.37025061,-0.926367493,4,-0.270862396,1.426306641,-1.117556519,14.5729599,0,0,0,-1,-0.239259918,1.418650146,-1.339297485,5.573307991,-0.219133011,1.427913818,-1.344018921,4,-0.276506836,1.516116089,-1.376578125,17.07227516,-0.306985962,1.459622925,-1.250926514,4,-0.263182037,1.488825684,-1.249388306,7.091756821,-0.22066629,1.472126343,-1.268949829,4,-0.232401718,1.477050781,-1.334249023,4.132134438,0.174313202,1.44213208,-0.674379883,4,0.275020233,1.37900708,-0.735364075,3.922702074,0,0,0,-1,0.253017258,1.241243164,-0.935473511,8.066599846,0.158520142,1.330025269,-1.118856567,4,0.155747528,1.362601563,-1.12110022,71.28671265,0.151137009,1.375802612,-1.101995239,4,0.161629257,1.393214722,-1.07890625,13.93597889,0,0,0,-1,0.21194278,1.322689087,-1.009850525,5.328280449,0.174610825,1.355046387,-0.996400757,4,0.144191559,1.386835693,-1.035091675,8.766357422,0.10842173,1.098741455,-0.839664185,4,0.117813362,1.319734375,-0.851881287,4.668785095,0.017447054,1.344385498,-0.605802673,4,0.022436804,1.142134888,-0.575303589,6.467123508,0.14045755,0.971091858,-0.57230719,4,0.004797528,0.991127441,-0.54732782,3.417149544,-0.066983871,0.988036621,-0.77094873,4,-0.110170609,0.540243469,-0.766562744,5.130401134,-0.100846329,0.339840363,-0.740208252,4,-0.086870926,0.143457443,-0.700480591,5.299228668,0,0,0,-1,-0.051437077,0.066556206,-0.568970276,3.964749813,-0.124260849,0.072717834,-0.745285095,4,0.155426666,0.971500732,-0.807692688,3.710760832,0.126749161,0.523490356,-0.835536926,4,0.131088608,0.307616821,-0.813638672,8.277961731,0.126584473,0.124779289,-0.78026532,4,0.096861877,0.057652946,-0.843358704,3.251148224,0.157143661,0.098761078,-0.695450623,4,0.159331543,0.010681528,-0.820059875,4.876344204
8,0.110463911,-0.289582521,1.508630514,-1.407122374,-0.277033746,1.516044259,-1.376799703,-0.003102661,1.614088745,-0.885828613,0.030325972,1.619003662,-0.674564636,5.054322243,0.037550259,1.723169556,-0.816266479,4.644955635,0.088758408,1.691295044,-0.700849609,5.405586243,-0.099945183,1.600211426,-0.83902301,32.59754181,-0.032401592,1.602987549,-0.952477173,3.849419117,0.070970764,1.611141846,-0.932765015,6.863678932,-0.06952433,1.439434326,-0.680592773,4,-0.142099365,1.425036377,-0.771560669,6.077684879,-0.133800385,1.369980225,-0.927359131,4,-0.271135437,1.426459595,-1.118290894,14.57197475,0,0,0,-1,-0.239812164,1.418314575,-1.339861206,5.572769642,-0.219441238,1.428068604,-1.344734619,4,-0.277972321,1.516029785,-1.377130859,17.07257462,-0.306570465,1.459671631,-1.251848145,4,-0.263132324,1.48871814,-1.250159058,13.43417454,-0.221319107,1.472347412,-1.269592285,4,-0.23277623,1.477087036,-1.335213257,4.916308403,0.174924698,1.44195813,-0.675705566,4,0.275462677,1.378481201,-0.736903015,3.814796686,0,0,0,-1,0.252974045,1.240912476,-0.937041626,8.066506386,0.158088669,1.329768555,-1.120722656,4,0.155416458,1.36182605,-1.122522217,25.44008636,0.150526398,1.375376465,-1.103702881,4,0.161322952,1.392899292,-1.080863525,13.93065834,0,0,0,-1,0.211723892,1.322196899,-1.011332886,5.425896168,0.176680206,1.356456909,-0.997199646,4,0.144473343,1.386579834,-1.036562866,10.11689854,0.108589912,1.098855347,-0.841192505,4,0.118299843,1.319462158,-0.853171204,4.668973923,0.017731249,1.344382446,-0.607172607,4,0.023079422,1.142286011,-0.576271545,6.468321323,0.141292709,0.971589539,-0.573000732,4,0.00576216,0.991552612,-0.547952637,3.417340994,-0.06642421,0.988269592,-0.771411255,4,-0.109700516,0.540490112,-0.766242126,5.956878662,-0.100705261,0.34020813,-0.739868408,4,-0.086958298,0.143697128,-0.700397095,5.299072742,0,0,0,-1,-0.051505577,0.066506416,-0.568959534,4.267762661,-0.124490059,0.072980888,-0.745310486,4,0.155836594,0.971565247,-0.808514648,4.507256985,0.127522278,0.523609192,-0.835826721,4,0.131076187,0.307486603,-0.813712341,8.287416458,0.126960526,0.124672493,-0.780084473,4,0.096734489,0.057633453,-0.843400818,3.304382563,0.156722885,0.097914574,-0.695709045,4,0.159199982,0.010579212,-0.82009845,4.509355545
9,0.12118157,-0.289806694,1.508636475,-1.407377481,-0.277972311,1.516029835,-1.377130866,-0.003673035,1.613759277,-0.886511963,0.031071966,1.618863037,-0.675582153,5.054543972,0.037950306,1.723136597,-0.817262573,4.175752163,0.089677597,1.691210327,-0.702077026,5.405116081,-0.10399678,1.597525635,-0.835098145,4.379496574,-0.032187256,1.603009644,-0.953543884,3.909463167,0.071134819,1.611131836,-0.933593018,6.862307072,-0.069112656,1.439300049,-0.681491394,4,-0.141737213,1.425197144,-0.772301331,5.064446926,-0.133802338,1.369776123,-0.927990173,4,-0.27064212,1.426355957,-1.118776733,14.5748415,0,0,0,-1,-0.240310974,1.418187866,-1.340207886,4.160059929,-0.219993256,1.428056274,-1.345314453,4,-0.279961517,1.515806274,-1.377161377,16.54695702,-0.307045135,1.459469238,-1.252190674,4,-0.264095795,1.48885022,-1.25055603,7.089593887,-0.221739349,1.472434692,-1.270272949,4,-0.233503845,1.477181763,-1.33572168,4.133089542,0.175229095,1.441767334,-0.676374756,4,0.27547168,1.378541138,-0.737857422,3.922337532,0,0,0,-1,0.252955627,1.240733032,-0.938145996,8.0663414,0.157862259,1.329544922,-1.121751831,4,0.155153122,1.361693604,-1.123760864,20.53434944,0.150002991,1.374995117,-1.104527222,4,0.160987686,1.392583618,-1.081876099,13.92937851,0,0,0,-1,0.211691086,1.321998169,-1.012457642,5.328572273,0,0,0,-1,0.144253922,1.386214966,-1.037610352,10.11628246,0.108833824,1.098732056,-0.841914124,4,0.118456055,1.31940271,-0.854001831,4.669102669,0.018172071,1.344494873,-0.607911804,4,0.02349052,1.142482056,-0.576802368,6.468912125,0.141808334,0.971903259,-0.57352771,4,0.006307846,0.991894958,-0.548379761,3.417481422,-0.066090111,0.988364502,-0.771729248,4,-0.109316437,0.540706787,-0.766037354,4.776830196,-0.100632149,0.340320679,-0.739677856,4,-0.087142982,0.143714188,-0.700324402,5.299151897,0,0,0,-1,-0.051579182,0.066500343,-0.568911316,4.267776489,-0.124598167,0.072923569,-0.745360718,4,0.156071182,0.971491211,-0.809168335,4.506572247,0,0,0,-1,0.131205673,0.307427277,-0.813778442,8.287444115,0.126721199,0.124272247,-0.779546204,4,0.09679084,0.05762899,-0.843353333,3.251179457,0.156894531,0.098171906,-0.695500427,4,0.159322433,0.010677298,-0.82003656,4.876349926
